"ID","Type","Usage / recording context","Exact spoken text","Suggested audio filename"
"N046","Main narration","Step 46 - CFU 5","Classify each figure as a hexagon or a heptagon.","N046.wav"
"N047","Main narration","Step 47 - Finished","You did it! Now you know what makes a figure a polygon.","N047.wav"
"F001","Feedback","Step 5 - 01 · Open or closed: incorrect answer; Step 7 - 03 · Open or closed: incorrect answer; Step 9 - 05 · Open or closed: incorrect answer","No gaps in its boundary. This shape is closed.","F001.wav"
"F002","Feedback","Step 6 - 02 · Open or closed: incorrect answer; Step 8 - 04 · Open or closed: incorrect answer","There is a gap in its boundary. It is open.","F002.wav"
"F003","Feedback","Step 16 - incorrect curved shape selected","Look for shapes with only straight lines and no curves.","F003.wav"
"F004","Feedback","Step 24 - 13 · How many sides: incorrect answer; Step 31 - 16 · Count again: incorrect answer","Count each side carefully and try again.","F004.wav"
"F005","Feedback","Step 42 - CFU 1: correct answer","Yes! Closed, with only straight sides.","F005.wav"
"F006","Feedback","Step 42 - CFU 1: incorrect answer; Step 44 - CFU 3: second/subsequent incorrect answer","Is it closed? Does it have only straight sides?","F006.wav"
"F007","Feedback","Step 42 - CFU 1: second/subsequent incorrect answer","A polygon is closed, with only straight sides. Try again.","F007.wav"
"F008","Feedback","Step 43 - CFU 2: correct answer","Great job! You sorted the figures correctly.","F008.wav"
"F009","Feedback","Step 43 - CFU 2: incorrect answer","Wrong group. Check for gaps or curved sides.","F009.wav"
"F010","Feedback","Step 43 - CFU 2: second/subsequent incorrect answer","Polygons are closed, with only straight sides. Try again.","F010.wav"
"F011","Feedback","Step 44 - CFU 3: correct answer","You found it! That is not a polygon.","F011.wav"
"F012","Feedback","Step 44 - CFU 3: incorrect answer","Which figure breaks the rule for a polygon?","F012.wav"
"F013","Feedback","Step 45 - CFU 4: correct answer","Exactly! A pentagon always has 5 sides.","F013.wav"
"F014","Feedback","Step 45 - CFU 4: incorrect answer","Count the sides of each figure carefully.","F014.wav"
"F015","Feedback","Step 45 - CFU 4: second/subsequent incorrect answer","Look for every figure with exactly 5 sides.","F015.wav"
"F016","Feedback","Step 46 - CFU 5: correct answer","Well done! Hexagons have 6 sides and heptagons have 7 sides.","F016.wav"
"F017","Feedback","Step 46 - CFU 5: incorrect answer","Count the sides of the ones you placed wrong.","F017.wav"
"F018","Feedback","Step 46 - CFU 5: second/subsequent incorrect answer","6 sides make a hexagon, 7 make a heptagon.","F018.wav"
"F019","Feedback","Steps 5, 7, 9: correct Closed answer","Yes! It is closed.","F019.wav"
"F020","Feedback","Steps 6, 8: correct Open answer","Yes! It is open.","F020.wav"
"F021","Feedback","Steps 14: Curved selected for a straight boundary","Look! This boundary isn't curved. It is made of straight lines.","F021.wav"
"F022","Feedback","Steps 14: Straight selected for a curved boundary","Look closely. This boundary bends smoothly. It is curved.","F022.wav"
"F023","Feedback","Step 16 - both straight-line shapes selected","Yes! Both shapes are made of straight lines.","F023.wav"
"F024","Feedback","Steps 19, 36: all correct figures selected","That is right! These are the ones.","F024.wav"
"F025","Feedback","Steps 19, 36: incorrect figure selected","A polygon is closed, with only straight sides.","F025.wav"
"F026","Feedback","Steps 23: all three labels correctly placed","Perfect! Side, vertex and angle — all labelled.","F026.wav"
"F027","Feedback","Steps 23: incorrect label placement","Not that one. A side is straight, a vertex is a corner.","F027.wav"
"F028","Fallback","Generic tap-one fallback; current configured questions provide specific retry lines","Not quite. Try again.","F028.wav"
