#,filename,text,start_s,end_s,duration_s
54,54_A_polygon_is_closed_with_only_straight_sides_Try_again.mp3,"A polygon is closed, with only straight sides. Try again.",198.496,204.401,5.905
55,55_Great_job_You_sorted_the_figures_correctly.mp3,Great job! You sorted the figures correctly.,204.698,208.629,3.931
56,56_Wrong_group_Check_for_gaps_or_curved_sides.mp3,Wrong group. Check for gaps or curved sides.,208.843,213.103,4.260
57,57_Polygons_are_closed_with_only_straight_sides_Try_again.mp3,"Polygons are closed, with only straight sides. Try again.",213.092,218.779,5.687
58,58_You_found_it_That_is_not_a_polygon.mp3,You found it! That is not a polygon.,218.999,222.820,3.821
59,59_Which_figure_breaks_the_rule_for_a_polygon.mp3,Which figure breaks the rule for a polygon?,222.910,226.124,3.214
60,60_Exactly_A_pentagon_always_has_five_sides.mp3,Exactly! A pentagon always has five sides.,226.302,231.405,5.103
61,61_Count_the_sides_of_each_figure_carefully.mp3,Count the sides of each figure carefully.,231.424,234.512,3.088
62,62_Look_for_every_figure_with_exactly_five_sides.mp3,Look for every figure with exactly five sides.,234.479,238.526,4.047
63,63_Well_done_Hexagons_have_six_sides_and_heptagons_have_seven_sid.mp3,Well done! Hexagons have six sides and heptagons have seven sides.,238.684,245.097,6.413
64,64_Count_the_sides_of_the_ones_you_placed_wrong.mp3,Count the sides of the ones you placed wrong.,245.112,248.273,3.161
65,65_Six_sides_make_a_hexagon_seven_make_a_heptagon.mp3,"Six sides make a hexagon, seven make a heptagon.",248.278,252.940,4.662
66,66_Yes_It_is_closed.mp3,Yes! It is closed.,253.120,255.584,2.464
67,67_Yes_It_is_open.mp3,Yes! It is open.,255.800,258.002,2.202
68,68_Look_This_boundary_isnt_curved_It_is_made_of_straight_lines.mp3,Look! This boundary isn't curved. It is made of straight lines.,258.185,263.954,5.769
69,69_Look_closely_This_boundary_bends_smoothly_It_is_curved.mp3,Look closely. This boundary bends smoothly. It is curved.,264.154,270.191,6.037
70,70_Yes_It_is_closed_and_made_of_straight_lines.mp3,Yes! It is closed and made of straight lines.,270.508,274.622,4.114
71,71_That_is_right_These_are_the_ones.mp3,That is right! These are the ones.,274.801,277.922,3.121
72,72_A_polygon_is_closed_with_only_straight_sides.mp3,"A polygon is closed, with only straight sides.",277.931,282.353,4.422
73,73_Perfect_Side_vertex_and_angle_all_labelled.mp3,"Perfect! Side, vertex and angle — all labelled.",282.521,288.259,5.738
74,74_Not_that_one_A_side_is_straight_a_vertex_is_a_corner.mp3,"Not that one. A side is straight, a vertex is a corner.",288.462,293.866,5.404
75,75_Not_quite_Try_again.mp3,Not quite. Try again.,294.131,296.477,2.346
